host_is_superhost,host_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
f,1.0,Circle C,House,Private room,6,2.5,1.0,3.0,Real Bed,300.0,0.0,0.0,1,0.0,2,t,0,0,0,240,1,f,moderate
f,1.0,Circle C,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,99.0,1000.0,75.0,1,0.0,3,t,29,59,89,364,0,f,moderate
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,25.0,2,10.0,1,t,16,16,37,312,2,t,moderate
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,99.0,0.0,0.0,2,0.0,2,t,29,59,89,364,0,f,strict
t,9.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,49.0,0.0,0.0,1,0.0,2,t,25,55,85,360,4,f,strict
t,9.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,50.0,0.0,0.0,1,20.0,3,t,29,59,89,364,7,f,strict
t,12.0,St. Johns,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,55.0,100.0,75.0,1,0.0,1,t,30,60,90,365,14,f,strict
f,1.0,Copperfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,180.0,200.0,100.0,0,0.0,1,t,0,0,0,238,0,t,flexible
f,1.0,Steiner Ranch,Townhouse,Private room,4,1.0,1.0,1.0,Real Bed,59.0,100.0,10.0,4,15.0,1,t,30,60,90,365,2,f,flexible
f,1.0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,155.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,301.0,Steiner Ranch,House,Entire home/apt,10,3.5,4.0,5.0,Real Bed,700.0,0.0,165.0,1,0.0,2,t,22,42,69,340,1,f,strict
f,301.0,Steiner Ranch,House,Entire home/apt,12,3.5,4.0,5.0,Real Bed,819.0,0.0,175.0,1,0.0,2,t,25,55,85,351,0,f,strict
f,1.0,Steiner Ranch,House,Entire home/apt,8,4.5,4.0,4.0,Real Bed,1250.0,250.0,250.0,10,0.0,3,t,30,60,90,365,6,f,strict
f,1.0,Steiner Ranch,Bed & Breakfast,Private room,6,1.0,1.0,2.0,Real Bed,300.0,250.0,100.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,800.0,0.0,0.0,1,0.0,1,t,0,0,0,134,0,f,flexible
t,2.0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,85.0,100.0,25.0,2,25.0,2,t,25,42,72,341,9,t,strict
f,1.0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,600.0,0.0,0.0,1,0.0,2,t,21,51,81,356,0,f,moderate
f,1.0,Steiner Ranch,House,Entire home/apt,5,2.5,4.0,3.0,Real Bed,200.0,0.0,250.0,1,0.0,1,t,25,44,74,349,1,f,flexible
f,1.0,Steiner Ranch,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,1000.0,0.0,0.0,1,0.0,1,t,0,0,0,39,0,t,flexible
f,301.0,Steiner Ranch,House,Entire home/apt,8,2.5,3.0,4.0,Real Bed,629.0,0.0,125.0,1,0.0,2,t,21,48,78,353,0,f,strict
f,301.0,Steiner Ranch,House,Entire home/apt,8,3.0,3.0,4.0,Real Bed,469.0,0.0,165.0,1,0.0,2,t,15,32,62,323,1,f,strict
f,1.0,Steiner Ranch,House,Entire home/apt,16,2.0,4.0,12.0,Real Bed,565.0,300.0,250.0,16,25.0,2,t,23,50,80,352,7,f,strict
f,1.0,Steiner Ranch,House,Entire home/apt,7,2.5,4.0,3.0,Real Bed,499.0,0.0,250.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Steiner Ranch,House,Entire home/apt,16,3.0,5.0,11.0,Real Bed,599.0,0.0,300.0,4,35.0,2,t,26,56,86,361,4,f,strict
t,2.0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,85.0,100.0,25.0,2,25.0,2,t,26,56,86,361,10,f,strict
f,1.0,Oak Hill,Bungalow,Private room,2,1.0,1.0,1.0,Real Bed,110.0,0.0,0.0,0,0.0,1,t,17,47,77,352,0,t,flexible
f,1.0,Oak Hill,House,Private room,1,1.0,1.0,1.0,Real Bed,48.0,0.0,0.0,1,0.0,1,t,0,21,51,297,2,f,flexible
f,2.0,Oak Hill,House,Private room,2,1.0,1.0,1.0,Real Bed,150.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,2.0,Oak Hill,House,Private room,2,1.0,1.0,1.0,Real Bed,450.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Brentwood,House,Entire home/apt,4,2.5,2.0,2.0,Real Bed,249.0,500.0,40.0,2,50.0,1,t,30,60,90,365,0,f,strict
f,1.0,Brentwood,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,75.0,0.0,5.0,1,0.0,1,t,28,58,88,88,2,f,moderate
f,1.0,Allendale,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,100.0,35.0,1,0.0,1,t,0,0,0,9,0,f,strict
f,5.0,Allendale,Bed & Breakfast,Private room,2,2.0,1.0,1.0,Real Bed,75.0,0.0,0.0,1,0.0,1,t,30,60,90,365,1,f,flexible
f,1.0,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,300.0,300.0,0.0,1,0.0,2,t,16,29,45,299,0,f,moderate
f,1.0,Rosedale,House,Private room,4,1.0,1.0,1.0,Real Bed,79.0,0.0,20.0,2,40.0,1,t,30,60,90,365,1,f,moderate
f,1.0,Rosedale,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,109.0,0.0,29.0,3,50.0,1,t,2,2,6,262,56,f,flexible
f,1.0,Rosedale,House,Private room,3,1.0,1.0,1.0,Real Bed,88.0,100.0,0.0,3,20.0,2,t,18,35,57,332,90,f,strict
f,2.0,Rosedale,House,Entire home/apt,5,1.0,1.0,3.0,Real Bed,115.0,200.0,80.0,4,25.0,2,t,23,32,54,316,11,f,strict
t,1.0,Allendale,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,144.0,150.0,45.0,3,20.0,2,t,23,49,79,354,8,f,moderate
f,1.0,Rosedale,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,200.0,0.0,0.0,1,0.0,2,t,30,60,90,365,0,f,flexible
f,1.0,Rosedale,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,0.0,0.0,2,75.0,1,t,0,0,0,258,0,f,flexible
f,1.0,Rosedale,House,Entire home/apt,8,3.5,4.0,5.0,Real Bed,699.0,800.0,150.0,1,0.0,3,t,29,59,89,364,0,f,flexible
f,1.0,Rosedale,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,625.0,150.0,65.0,6,25.0,1,t,30,60,90,365,2,f,flexible
f,2.0,Brentwood,House,Entire home/apt,3,1.0,2.0,3.0,Real Bed,102.0,100.0,75.0,3,25.0,2,t,9,20,20,293,20,f,strict
f,1.0,Rosedale,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,250.0,0.0,0.0,1,0.0,1,t,0,0,0,225,0,f,flexible
f,2.0,Brentwood,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,70.0,300.0,10.0,1,0.0,3,t,0,19,19,247,8,f,strict
f,1.0,Brentwood,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,119.0,499.0,0.0,1,0.0,2,t,28,58,88,332,0,t,moderate
f,1.0,Brentwood,House,Private room,2,1.0,1.0,2.0,Real Bed,300.0,1000.0,0.0,1,0.0,14,t,30,60,90,365,1,f,strict
f,1.0,Rosedale,Other,Entire home/apt,4,2.0,2.0,2.0,Real Bed,199.0,500.0,0.0,1,0.0,1,t,0,5,35,310,30,f,strict
t,1.0,Brentwood,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,97.0,100.0,25.0,1,0.0,1,t,6,25,55,324,61,f,flexible
t,1.0,Brentwood,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,125.0,200.0,89.0,2,0.0,3,t,11,11,11,11,46,t,strict
f,1.0,Brentwood,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,118.0,0.0,20.0,4,10.0,3,t,28,58,88,205,5,f,flexible
f,4.0,Brentwood,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,163.0,0.0,35.0,2,0.0,2,t,23,53,83,358,32,t,strict
f,1.0,Brentwood,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,400.0,0.0,0.0,1,0.0,3,t,30,60,90,365,0,f,flexible
f,3.0,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,125.0,0.0,0.0,1,0.0,1,t,0,0,0,102,1,f,flexible
t,2.0,Brentwood,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,169.0,350.0,49.0,4,49.0,2,t,18,39,69,341,50,f,moderate
f,1.0,Brentwood,House,Entire home/apt,10,3.0,3.0,4.0,Real Bed,650.0,1000.0,150.0,1,0.0,1,t,29,59,89,360,1,f,strict
f,1.0,Brentwood,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,300.0,0.0,0.0,1,0.0,1,t,0,0,0,221,1,f,flexible
t,1.0,Rosedale,House,Private room,4,1.0,1.0,2.0,Real Bed,75.0,0.0,40.0,2,25.0,2,t,5,19,47,124,17,t,moderate
f,1.0,Rosedale,House,Entire home/apt,7,2.0,3.0,5.0,Real Bed,500.0,500.0,150.0,8,50.0,2,t,30,60,90,365,2,f,strict
f,1.0,Rosedale,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,157.0,0.0,125.0,1,0.0,2,t,11,11,11,137,6,f,strict
f,1.0,Rosedale,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,180.0,0.0,60.0,2,50.0,3,t,19,44,74,335,8,t,strict
f,26.0,Brentwood,House,Entire home/apt,6,2.5,2.0,3.0,Real Bed,172.0,200.0,115.0,4,11.0,1,t,29,59,89,364,2,f,strict
t,2.0,Rosedale,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,399.0,400.0,130.0,6,20.0,1,t,4,30,45,286,2,f,strict
f,1.0,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,63.0,0.0,0.0,2,15.0,3,t,0,17,22,22,0,f,moderate
f,1.0,Allendale,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,200.0,40.0,1,0.0,2,t,15,45,75,75,1,f,moderate
f,1.0,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,60.0,0.0,10.0,0,0.0,2,t,0,0,0,1,14,f,flexible
f,1.0,Brentwood,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,95.0,0.0,0.0,1,0.0,3,t,0,0,0,241,4,f,flexible
f,1.0,Brentwood,House,Entire home/apt,6,1.5,2.0,3.0,Real Bed,185.0,300.0,0.0,1,0.0,3,t,13,28,28,247,3,f,strict
f,3.0,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,90.0,0.0,0.0,1,0.0,1,t,0,0,0,68,0,f,flexible
f,2.0,Rosedale,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,600.0,250.0,85.0,1,0.0,2,t,0,0,0,17,0,f,strict
f,2.0,Rosedale,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,300.0,80.0,2,40.0,2,t,0,18,48,323,3,f,strict
f,339.0,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,172.0,0.0,115.0,1,0.0,2,t,0,5,35,310,2,f,strict
f,1.0,Brentwood,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,150.0,100.0,50.0,1,50.0,3,t,0,0,0,241,0,f,flexible
f,1.0,Allendale,House,Private room,3,1.0,1.0,1.0,Real Bed,200.0,0.0,0.0,1,0.0,1,t,0,0,0,7,0,f,flexible
f,1.0,Rosedale,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,190.0,1000.0,150.0,2,8.0,7,t,0,25,55,145,0,f,strict
f,1.0,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,85.0,0.0,30.0,1,0.0,1,t,18,38,68,158,23,t,moderate
f,1.0,Rosedale,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,175.0,0.0,0.0,1,0.0,1,t,0,0,0,233,2,f,moderate
f,2.0,Allendale,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,89.0,300.0,100.0,1,0.0,2,t,0,0,19,263,2,f,strict
f,1.0,Brentwood,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,370.0,0.0,0.0,1,0.0,2,t,0,0,0,211,0,f,moderate
f,1.0,Brentwood,House,Entire home/apt,6,1.5,3.0,5.0,Real Bed,114.0,0.0,120.0,4,0.0,3,t,25,53,83,358,21,f,strict
f,2.0,Rosedale,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,143.0,250.0,85.0,1,0.0,2,t,18,18,18,236,4,f,strict
f,1.0,Allendale,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,750.0,500.0,99.0,1,0.0,1,t,0,0,0,229,0,f,flexible
t,1.0,Brentwood,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,115.0,500.0,30.0,1,15.0,2,t,24,54,84,359,23,f,moderate
f,1.0,Rosedale,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,90.0,200.0,50.0,1,0.0,2,t,19,49,79,354,7,t,strict
f,1.0,Rosedale,House,Entire home/apt,5,2.0,3.0,5.0,Real Bed,180.0,400.0,80.0,1,0.0,1,t,0,8,8,162,2,t,strict
f,21.0,Brentwood,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,180.0,400.0,100.0,4,0.0,2,t,4,23,53,328,15,f,strict
f,1.0,Rosedale,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,499.0,0.0,0.0,1,0.0,4,t,30,60,90,365,1,f,strict
f,1.0,Rosedale,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,400.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,strict
t,2.0,Allendale,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,150.0,500.0,60.0,4,50.0,2,t,29,58,88,363,5,f,strict
f,2.0,Rosedale,House,Entire home/apt,6,1.0,2.0,4.0,Real Bed,200.0,400.0,90.0,5,25.0,2,t,0,0,0,189,5,f,strict
f,1.0,Allendale,House,Entire home/apt,2,2.0,2.0,2.0,Real Bed,100.0,0.0,0.0,1,0.0,1,t,0,0,0,0,2,f,flexible
f,1.0,Allendale,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,225.0,1000.0,150.0,1,0.0,2,t,8,38,68,343,1,t,strict
f,1.0,Brentwood,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,85.0,500.0,50.0,1,0.0,2,t,10,23,29,296,36,f,moderate
f,1.0,Rosedale,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,175.0,150.0,80.0,4,50.0,2,t,0,13,43,318,0,f,flexible
f,1.0,Rosedale,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,0.0,0.0,1,0.0,1,t,15,45,75,350,1,f,flexible
f,8.0,Rosedale,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,106.0,0.0,85.0,1,0.0,30,t,11,41,71,346,5,f,flexible
f,1.0,Rosedale,House,Entire home/apt,9,2.5,3.0,3.0,Real Bed,800.0,500.0,200.0,1,0.0,3,t,30,60,90,365,0,f,moderate
f,1.0,Rosedale,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,135.0,250.0,0.0,3,20.0,2,t,29,44,74,349,2,f,flexible
f,1.0,Brentwood,House,Entire home/apt,5,1.5,3.0,3.0,Real Bed,399.0,500.0,125.0,1,0.0,4,t,30,60,90,365,0,f,strict
f,1.0,Allendale,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,0.0,25.0,1,15.0,2,t,0,20,41,310,8,f,flexible
f,1.0,Brentwood,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,250.0,0.0,0.0,1,0.0,1,t,0,0,0,0,0,f,flexible
f,1.0,Brentwood,Apartment,Shared room,2,1.0,1.0,1.0,Couch,75.0,200.0,10.0,1,75.0,1,t,30,60,90,365,0,f,flexible
t,1.0,Rosedale,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,185.0,0.0,60.0,4,0.0,2,t,6,36,66,341,13,t,strict
f,1.0,Allendale,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,199.0,500.0,85.0,1,0.0,1,t,6,20,24,243,5,f,moderate
f,1.0,Rosedale,House,Entire home/apt,5,3.0,3.0,3.0,Real Bed,350.0,500.0,100.0,1,50.0,5,t,0,9,39,314,0,f,strict
f,1.0,Brentwood,Townhouse,Entire home/apt,6,1.0,1.0,3.0,Real Bed,85.0,0.0,25.0,1,0.0,1,t,0,0,0,33,0,f,flexible
f,3.0,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,97.0,0.0,0.0,1,0.0,1,t,0,0,0,146,1,f,flexible
f,1.0,Brentwood,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,61.0,0.0,0.0,2,0.0,2,t,0,0,0,219,7,f,moderate
f,2.0,Rosedale,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,500.0,80.0,2,0.0,14,t,0,0,0,26,5,f,strict
f,1.0,Allendale,House,Entire home/apt,7,2.0,2.0,2.0,Real Bed,700.0,0.0,0.0,1,0.0,2,t,30,60,90,365,0,f,moderate
f,1.0,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,625.0,0.0,100.0,1,0.0,4,t,30,60,90,365,0,f,flexible
t,2.0,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,250.0,0.0,15.0,0,0.0,3,t,0,0,0,214,1,f,strict
f,1.0,Brentwood,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,160.0,500.0,50.0,1,50.0,6,t,0,5,35,310,1,f,strict
f,1.0,McKinney,House,Private room,2,1.5,1.0,1.0,Futon,80.0,0.0,0.0,1,0.0,1,t,26,56,86,361,1,t,flexible
t,12.0,McKinney,House,Private room,1,2.5,1.0,1.0,Real Bed,55.0,100.0,75.0,2,10.0,1,t,30,60,90,365,5,f,strict
t,2.0,Hancock,House,Private room,2,1.5,1.0,1.0,Airbed,65.0,0.0,0.0,1,50.0,3,t,16,46,76,351,10,f,strict
t,2.0,Hancock,House,Private room,2,1.5,1.0,2.0,Real Bed,55.0,0.0,0.0,1,35.0,3,t,15,45,75,350,12,f,strict
f,1.0,Hancock,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,130.0,0.0,0.0,1,15.0,1,t,0,3,33,308,24,f,flexible
f,1.0,Hancock,House,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,0.0,1,0.0,1,t,0,0,0,99,0,f,flexible
f,1.0,Hancock,House,Private room,1,1.0,1.0,1.0,Real Bed,150.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Hancock,House,Private room,2,1.0,1.0,1.0,Real Bed,95.0,100.0,25.0,1,0.0,1,t,0,0,0,254,0,f,flexible
f,1.0,North Loop,Condominium,Private room,4,1.5,1.0,2.0,Real Bed,65.0,0.0,5.0,1,20.0,1,t,29,59,89,364,5,f,flexible
f,2.0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,0.0,1,0.0,1,t,19,21,40,40,0,f,flexible
f,1.0,Hancock,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,65.0,150.0,60.0,1,0.0,2,t,0,6,21,274,4,f,moderate
f,1.0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,0.0,10.0,1,20.0,1,t,0,0,27,302,0,f,flexible
t,1.0,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,99.0,250.0,65.0,2,10.0,1,t,12,32,59,331,119,f,strict
f,1.0,North Loop,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,185.0,0.0,0.0,1,0.0,1,t,0,0,0,224,0,f,flexible
t,1.0,Hancock,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,135.0,500.0,75.0,4,15.0,2,t,9,28,58,333,42,f,moderate
f,1.0,Hancock,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,35.0,0.0,0.0,1,0.0,1,t,0,0,0,205,4,f,strict
f,1.0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,60.0,300.0,75.0,1,50.0,7,t,30,60,90,365,1,f,moderate
f,1.0,Hancock,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,250.0,65.0,2,50.0,2,t,15,41,71,71,6,f,moderate
f,1.0,Hancock,House,Entire home/apt,2,1.0,2.0,1.0,Real Bed,60.0,0.0,0.0,1,0.0,2,t,3,3,3,140,2,f,strict
f,339.0,Hancock,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,350.0,0.0,135.0,1,0.0,2,t,7,21,48,312,3,f,strict
t,32.0,North Loop,House,Private room,2,1.0,1.0,2.0,Real Bed,50.0,0.0,0.0,1,7.0,14,t,7,37,67,342,0,f,strict
f,1.0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,110.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,North Loop,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,60.0,0.0,0.0,1,0.0,1,t,29,59,89,364,1,f,moderate
f,1.0,North Loop,Other,Private room,3,1.0,1.0,2.0,Real Bed,59.0,100.0,30.0,2,10.0,4,t,30,60,90,365,1,f,strict
f,1.0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,strict
f,1.0,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,71.0,100.0,20.0,1,0.0,2,t,0,0,0,126,13,f,moderate
f,1.0,Hancock,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,125.0,250.0,85.0,2,25.0,2,t,0,0,0,0,18,f,strict
f,1.0,Hancock,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,90.0,0.0,40.0,1,0.0,1,t,17,33,61,324,15,t,moderate
f,1.0,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,109.0,400.0,0.0,1,30.0,1,t,26,56,86,353,6,f,strict
t,1.0,North Loop,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,90.0,100.0,0.0,1,0.0,1,t,0,0,10,195,43,f,flexible
f,21.0,Hancock,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,85.0,250.0,50.0,2,0.0,3,t,7,35,65,337,28,f,strict
f,1.0,Hancock,Bungalow,Entire home/apt,3,1.0,0.0,1.0,Real Bed,200.0,0.0,0.0,1,0.0,2,t,15,33,33,51,0,f,flexible
f,1.0,Hancock,House,Entire home/apt,5,2.0,3.0,4.0,Real Bed,800.0,0.0,0.0,1,0.0,1,t,0,0,0,218,0,f,flexible
t,1.0,Hyde Park,House,Private room,3,1.0,1.0,1.0,Real Bed,64.0,0.0,30.0,2,40.0,1,t,14,39,64,329,49,t,flexible
f,1.0,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,500.0,50.0,3,25.0,2,t,0,0,0,49,1,f,moderate
f,2.0,North Loop,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,495.0,200.0,80.0,1,0.0,2,t,30,60,83,157,2,f,moderate
f,1.0,Hyde Park,House,Private room,2,1.0,1.0,1.0,Real Bed,94.0,0.0,10.0,1,0.0,1,t,26,56,86,361,3,f,flexible
f,1.0,Hyde Park,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,160.0,0.0,0.0,1,0.0,1,t,15,45,75,350,0,f,flexible
t,1.0,North Loop,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,156.0,0.0,25.0,4,15.0,1,t,0,14,22,244,10,f,flexible
f,1.0,North Loop,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,600.0,300.0,0.0,1,0.0,3,t,0,0,0,269,0,f,strict
f,1.0,North Loop,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,180.0,200.0,30.0,1,0.0,2,t,0,0,0,28,0,f,flexible
f,1.0,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,300.0,100.0,0.0,1,0.0,1,t,30,60,90,365,0,f,strict
f,301.0,North Loop,House,Entire home/apt,10,3.0,4.0,4.0,Real Bed,300.0,0.0,109.0,1,0.0,2,t,0,0,0,0,0,f,strict
f,1.0,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,230.0,300.0,65.0,1,0.0,4,t,29,59,89,364,2,f,strict
f,21.0,Hancock,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,185.0,400.0,80.0,2,0.0,2,t,13,28,39,314,24,f,strict
f,1.0,Hancock,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,115.0,0.0,90.0,1,0.0,3,t,22,38,38,252,12,f,strict
f,1.0,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,0.0,60.0,1,0.0,2,t,7,10,40,315,3,f,flexible
f,1.0,Hancock,House,Entire home/apt,4,1.0,2.0,1.0,Real Bed,125.0,400.0,150.0,4,15.0,2,t,0,0,0,239,0,f,strict
f,1.0,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,217.0,0.0,70.0,2,50.0,1,t,30,60,90,365,3,f,moderate
f,1.0,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,200.0,0.0,50.0,1,0.0,2,t,0,0,0,251,0,f,flexible
t,1.0,Hyde Park,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,0.0,0.0,2,5.0,1,t,1,9,9,163,38,f,strict
t,1.0,Hyde Park,Loft,Entire home/apt,3,1.0,0.0,1.0,Real Bed,89.0,0.0,35.0,2,18.0,3,t,16,38,68,158,57,f,moderate
t,1.0,Hyde Park,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,175.0,0.0,40.0,3,0.0,2,t,11,41,71,314,61,f,moderate
t,1.0,Hyde Park,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,101.0,0.0,0.0,2,10.0,3,t,10,40,70,338,76,t,flexible
f,1.0,North Loop,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,300.0,0.0,0.0,1,0.0,1,t,0,0,0,7,0,f,flexible
f,1.0,North Loop,House,Entire home/apt,4,2.0,3.0,3.0,Real Bed,165.0,200.0,0.0,1,0.0,2,t,0,3,33,308,3,f,strict
t,2.0,Hyde Park,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,130.0,0.0,75.0,1,0.0,3,t,17,42,42,262,16,f,moderate
t,2.0,North Loop,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,125.0,400.0,100.0,4,25.0,2,t,0,22,25,275,0,f,moderate
f,1.0,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,200.0,200.0,50.0,5,25.0,1,t,30,60,90,365,1,f,moderate
