host_is_superhost,host_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
f,1.0,Tarrytown,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,500.0,0.0,0.0,1,0.0,1,t,30,60,90,365,1,f,flexible
f,1.0,Tarrytown,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,999.0,1000.0,150.0,4,75.0,5,t,30,60,90,365,1,f,strict
f,21.0,Downtown,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,129.0,0.0,0.0,1,0.0,1,t,11,33,63,63,0,f,moderate
f,4.0,Tarrytown,House,Entire home/apt,12,2.0,3.0,7.0,Real Bed,300.0,100.0,150.0,12,50.0,2,t,28,58,88,88,2,f,strict
t,4.0,Tarrytown,House,Entire home/apt,10,3.0,4.0,6.0,Real Bed,1389.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Clarksville,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,450.0,500.0,75.0,1,0.0,2,t,28,58,88,363,4,f,strict
t,1.0,Clarksville,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,129.0,129.0,15.0,1,0.0,2,t,16,42,72,347,27,f,moderate
f,1.0,Clarksville,House,Entire home/apt,8,1.0,2.0,8.0,Real Bed,250.0,0.0,100.0,1,0.0,2,t,28,58,88,363,8,f,moderate
f,1.0,Clarksville,Condominium,Entire home/apt,6,2.0,3.0,4.0,Real Bed,785.0,500.0,200.0,1,0.0,3,t,0,0,0,14,0,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,439.0,500.0,150.0,1,0.0,5,t,30,60,90,365,3,f,strict
f,1.0,Old West Austin,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,298.0,500.0,25.0,1,0.0,2,t,30,60,90,365,1,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,200.0,0.0,0.0,1,0.0,1,t,0,12,42,317,1,f,flexible
f,2.0,Clarksville,Townhouse,Entire home/apt,4,2.5,2.0,2.0,Real Bed,200.0,500.0,75.0,1,0.0,7,t,0,2,32,277,2,f,strict
f,3.0,Clarksville,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,345.0,1000.0,150.0,1,0.0,1,t,30,60,90,365,4,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,5,2.5,3.0,4.0,Real Bed,1200.0,1200.0,100.0,5,75.0,3,t,0,5,35,310,1,f,strict
f,1.0,Clarksville,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,185.0,500.0,75.0,2,0.0,1,t,25,55,85,360,0,f,strict
f,1.0,Old West Austin,House,Private room,2,2.0,1.0,1.0,Futon,85.0,0.0,0.0,2,25.0,2,t,15,28,44,60,3,f,moderate
t,2.0,Old Enfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,199.0,250.0,50.0,2,0.0,2,t,26,56,86,356,29,f,strict
